date,AAPL,MSFT,NVDA,GOOG,META,TSLA,AMZN,BRK-B,JPM,XOM,600519,000858,601318,601398,000333,600036,000651,601888,000725,002594
2020-02-18,85.559,105.421,101.093,76.46,100.735,112.132,88.351,79.96,87.697,93.636,10.447,9.85,7.804,9.101,9.89,9.024,9.865,8.673,9.699,12.899
2020-02-19,86.113,106.162,98.537,76.425,103.335,111.245,87.772,82.331,85.782,92.454,10.474,9.205,7.842,9.162,9.85,8.955,9.867,8.599,9.971,12.829
2020-02-20,81.562,107.047,98.852,76.794,109.698,114.314,87.775,82.584,85.24,91.503,10.775,9.017,7.983,9.351,9.88,8.617,9.914,8.569,9.835,12.944
2020-02-21,78.66,105.399,96.58,75.642,109.738,111.654,88.281,78.677,82.931,91.768,11.033,9.175,7.876,8.581,10.194,8.764,9.755,8.398,9.743,13.034
2020-02-24,79.144,107.971,97.312,77.747,111.275,110.099,81.807,78.099,81.961,90.656,11.159,9.592,8.236,9.011,10.435,8.917,9.685,8.069,10.346,12.761
2020-02-25,80.803,107.586,95.151,75.667,111.611,116.593,80.558,79.15,79.433,90.688,11.251,9.644,8.002,8.97,10.754,9.077,9.554,7.975,10.135,12.87
2020-02-26,81.243,105.704,94.238,76.569,109.619,114.2,80.004,78.499,75.627,90.465,11.372,9.715,7.461,9.156,10.95,9.085,9.754,8.234,10.375,13.278
2020-02-27,81.048,107.129,91.9,78.718,104.49,111.104,82.513,77.975,77.754,90.318,11.287,9.71,7.452,9.053,11.045,8.906,9.733,8.249,10.609,13.175
2020-02-28,80.442,104.888,93.539,79.644,102.647,112.924,80.8,75.44,75.143,89.351,11.272,10.079,7.206,8.617,10.715,8.746,9.438,8.521,10.231,13.234
2020-03-02,77.25,105.025,95.709,79.316,98.995,108.162,81.148,76.668,74.858,88.508,11.086,10.567,7.139,8.854,10.759,9.05,9.279,8.56,9.658,13.311
2020-03-03,75.787,105.067,95.221,78.388,103.485,107.75,83.676,75.378,76.434,87.036,11.016,10.269,7.078,8.838,10.923,9.346,8.588,8.409,10.022,13.224
2020-03-04,74.89,107.867,95.408,80.323,103.257,112.682,81.546,71.015,75.255,87.659,10.94,9.807,7.376,8.85,11.321,9.373,8.592,8.667,9.695,13.457
2020-03-05,77.113,109.162,91.923,77.712,102.407,109.179,82.277,70.356,73.673,88.56,10.812,9.462,7.447,9.126,11.518,9.266,8.6,8.714,9.206,13.236
2020-03-06,77.896,109.164,91.299,76.004,104.87,104.792,81.03,72.296,74.189,87.534,10.835,9.744,7.519,9.326,11.876,9.554,8.572,8.916,9.611,13.688
2020-03-09,74.198,111.372,91.269,75.346,101.88,101.634,80.288,71.595,76.473,89.788,10.769,9.735,7.522,9.836,11.578,9.406,8.967,8.694,9.172,13.912
2020-03-10,74.913,115.153,97.551,77.559,99.92,103.646,79.07,75.044,74.163,89.415,10.863,9.775,7.249,9.736,11.49,9.456,8.953,8.912,9.07,13.593
2020-03-11,74.181,116.764,94.838,78.289,100.178,106.186,77.984,75.984,73.939,91.731,10.543,9.382,6.703,9.55,11.617,9.747,9.063,9.141,9.624,14.182
2020-03-12,72.863,116.866,98.525,76.573,102.953,105.168,82.342,76.749,70.595,90.86,10.518,9.336,6.813,9.504,11.956,9.564,8.716,9.207,8.995,14.038
2020-03-13,74.138,113.264,101.165,76.065,104.387,106.779,83.828,76.545,69.924,87.948,10.54,9.274,7.004,9.62,11.918,9.745,8.642,9.035,8.761,13.791
2020-03-16,76.286,110.442,101.998,75.023,105.149,109.987,85.775,76.467,70.056,88.61,10.478,9.318,6.981,9.9,11.899,9.862,8.544,9.029,8.643,14.183
2020-03-17,78.288,109.703,106.742,73.828,105.449,114.201,86.713,75.983,68.528,89.054,10.442,9.235,6.855,9.495,12.106,9.855,8.388,9.164,8.584,14.368
2020-03-18,76.55,108.169,107.874,75.552,106.637,113.739,83.993,75.421,67.76,89.191,10.141,9.02,6.969,9.615,11.775,9.635,8.231,9.218,8.353,13.737
2020-03-19,75.961,107.751,109.066,73.187,107.285,108.411,84.747,76.575,65.282,88.344,10.203,8.861,6.952,10.057,12.248,9.479,7.885,9.353,8.061,13.729
2020-03-20,76.707,107.965,109.023,75.967,104.484,106.676,86.667,74.688,65.479,88.38,10.319,9.102,7.363,9.842,11.804,9.543,7.745,9.581,8.439,13.834
2020-03-23,78.813,109.403,112.583,77.475,104.694,105.843,85.264,72.562,67.387,87.729,10.408,9.153,7.571,10.105,11.25,9.238,7.903,9.438,8.385,13.091
2020-03-24,77.84,109.286,115.889,79.486,101.84,105.388,87.01,70.404,65.481,87.382,10.599,9.28,7.827,10.251,11.392,9.267,7.876,9.184,8.54,13.284
2020-03-25,77.504,110.629,114.124,78.676,102.138,105.09,88.334,74.385,64.458,88.665,10.635,9.092,8.037,10.532,11.876,9.382,7.783,9.18,8.509,13.345
2020-03-26,75.217,110.868,110.337,78.448,100.938,107.653,91.722,75.522,65.384,89.018,10.723,8.488,7.681,10.296,11.875,9.592,7.782,9.112,8.59,12.957
2020-03-27,72.813,105.688,109.865,75.88,107.719,110.627,91.043,76.212,67.561,89.989,10.75,8.491,7.953,10.066,12.1,9.291,7.993,9.286,8.84,13.053
2020-03-30,74.487,103.374,107.696,74.998,107.694,110.352,89.121,74.081,64.937,89.736,10.88,8.326,8.061,10.077,12.118,9.569,7.994,9.054,8.575,13.064
2020-03-31,77.307,103.081,107.623,75.903,103.828,112.997,88.562,75.401,64.709,89.323,10.568,8.391,8.235,9.645,12.078,9.938,8.095,9.276,8.649,12.68
2020-04-01,77.214,100.156,111.177,78.235,103.548,113.961,91.215,75.225,65.26,87.731,10.395,9.012,8.38,9.692,11.623,10.032,7.935,9.577,8.839,12.981
2020-04-02,79.393,101.659,109.968,76.267,105.037,114.238,87.945,75.727,65.146,87.287,10.689,9.019,8.516,9.766,10.979,9.798,7.821,9.581,9.263,13.263
2020-04-03,80.239,105.452,109.954,75.663,109.717,116.52,84.368,73.777,60.907,82.649,10.212,9.575,9.319,10.262,11.169,9.727,7.885,9.599,9.682,13.175
2020-04-06,78.884,108.599,110.226,75.442,108.115,116.822,84.606,74.161,61.781,81.934,10.306,9.554,9.159,10.23,11.536,9.718,8.232,9.428,9.563,13.117
2020-04-07,79.724,108.111,112.755,73.037,103.73,121.955,83.937,73.367,64.344,81.904,10.52,9.419,9.462,10.415,11.639,9.78,8.382,9.311,9.903,13.365
2020-04-08,83.139,112.041,106.305,74.084,106.029,118.434,84.035,71.899,64.607,82.736,10.499,9.494,9.312,10.762,11.824,9.786,8.496,9.225,9.097,13.306
2020-04-09,83.121,112.51,104.738,72.88,102.288,117.293,85.722,73.397,62.894,82.454,10.42,9.875,9.572,10.474,12.292,9.85,8.526,9.544,9.645,12.668
2020-04-10,86.743,111.671,105.413,72.592,101.205,117.111,84.855,70.385,62.094,83.001,10.441,10.134,9.889,10.43,12.397,9.832,8.804,9.532,9.291,12.983
2020-04-13,80.592,110.099,108.791,71.872,100.605,118.31,81.737,71.527,65.086,80.134,10.371,10.003,10.019,11.149,12.365,9.893,8.966,9.238,9.227,12.726
2020-04-14,82.465,109.369,107.512,70.594,100.503,121.563,85.189,72.921,66.728,80.137,10.374,10.06,10.605,10.962,12.121,9.791,8.487,9.298,9.357,12.609
2020-04-15,82.725,108.42,102.392,70.624,102.395,121.634,83.563,71.235,67.932,78.022,10.243,9.737,10.125,11.313,12.731,9.718,8.381,9.483,9.318,13.079
2020-04-16,82.111,108.93,104.135,70.312,100.648,118.163,81.864,69.704,68.644,76.562,10.445,9.919,10.08,11.626,12.712,9.594,8.447,9.482,9.38,13.043
2020-04-17,82.38,109.417,102.523,69.745,100.009,120.365,83.769,69.339,67.501,76.403,10.709,10.266,10.16,11.146,12.421,10.011,8.095,9.815,9.842,13.052
2020-04-20,77.963,109.493,99.465,68.604,100.053,122.388,83.205,69.93,67.206,78.066,10.681,10.276,10.475,11.382,12.067,10.194,8.023,10.0,9.584,13.227
2020-04-21,77.554,110.708,97.954,69.154,100.525,117.572,83.183,69.698,67.132,78.614,10.411,10.122,10.546,11.435,12.446,10.324,7.892,9.756,9.269,13.404
2020-04-22,78.371,113.937,97.581,71.854,100.863,117.69,84.077,70.579,68.181,78.713,10.31,10.204,11.022,11.546,12.133,10.635,7.845,9.633,9.79,13.102
2020-04-23,81.599,116.601,96.148,72.13,102.094,113.921,85.999,74.028,70.991,78.765,10.272,10.301,10.609,11.306,12.694,10.829,7.793,9.688,9.807,13.091
2020-04-24,80.504,112.523,90.751,73.843,104.429,112.468,85.509,73.066,73.177,77.925,10.363,10.32,10.193,10.954,11.645,10.875,7.74,9.311,10.391,13.111
2020-04-27,78.785,105.705,92.948,71.499,105.585,110.476,88.216,69.715,70.479,77.31,10.172,10.362,10.307,10.812,12.199,10.507,7.889,9.389,10.516,13.209
2020-04-28,77.763,108.138,96.106,71.803,106.922,112.458,84.507,71.341,70.969,77.924,10.028,10.322,10.285,10.787,12.168,10.447,7.84,9.001,10.095,13.313
2020-04-29,79.77,104.662,97.821,70.013,102.586,112.854,85.888,74.672,72.432,76.24,10.117,10.554,10.484,11.153,12.209,10.37,7.769,9.331,10.422,14.188
2020-04-30,80.548,104.164,95.035,67.649,102.804,109.955,84.521,75.534,73.698,77.051,10.285,10.73,10.479,11.73,12.162,10.106,7.525,9.535,10.113,13.564
2020-05-01,79.442,101.307,94.632,66.526,104.176,112.09,86.946,73.36,72.534,76.638,10.167,10.493,10.36,12.022,12.735,9.768,7.705,9.653,10.121,14.07
2020-05-04,80.619,96.994,94.708,68.408,106.245,108.865,87.283,73.174,78.241,77.743,9.92,10.255,10.338,12.32,12.772,9.879,7.584,9.503,10.103,14.497
2020-05-05,80.894,98.314,96.268,69.96,104.408,109.731,86.188,71.006,75.653,79.036,10.504,10.197,10.354,11.976,12.493,9.953,7.392,9.545,9.607,14.686
2020-05-06,83.1,100.164,98.028,70.396,102.694,107.99,87.427,72.309,73.541,76.958,10.491,10.366,10.249,11.843,11.968,9.692,7.429,9.433,9.489,14.455
2020-05-07,81.567,98.842,96.26,67.928,101.236,107.286,89.09,69.709,74.071,76.304,10.438,10.401,10.181,11.919,12.17,9.531,7.296,9.207,10.136,15.069
2020-05-08,80.898,92.765,96.558,67.658,102.737,108.529,90.334,69.198,78.324,75.314,10.598,10.251,10.044,11.711,12.175,9.783,7.207,9.137,10.063,14.022
2020-05-11,80.092,91.608,97.795,68.172,105.597,109.826,88.55,67.363,76.654,73.163,10.571,10.312,10.347,11.908,11.723,9.59,7.25,9.292,10.015,13.958
2020-05-12,76.946,92.525,101.577,68.491,104.557,113.003,87.776,67.653,76.186,72.003,10.733,10.236,10.422,12.155,11.713,9.629,7.195,9.306,10.577,14.378
2020-05-13,77.628,89.303,103.529,65.594,107.123,112.932,87.859,67.035,78.449,74.937,10.76,10.439,11.245,12.345,11.552,9.589,7.582,9.629,10.296,14.253
2020-05-14,78.241,89.751,105.745,64.275,107.556,113.776,87.875,67.414,78.488,75.754,10.775,10.518,11.144,12.708,11.56,9.701,7.454,9.807,10.273,14.834
2020-05-15,78.312,89.774,106.077,64.216,107.293,112.862,89.292,67.512,77.864,78.194,10.75,10.444,10.936,12.389,11.772,9.515,7.562,9.964,10.591,14.057
2020-05-18,77.869,91.076,110.055,65.055,106.787,113.413,85.756,65.754,79.115,79.326,10.466,10.499,11.957,12.721,12.211,9.536,7.22,9.589,10.467,13.841
2020-05-19,74.913,91.394,111.33,61.771,108.958,114.574,86.422,66.932,79.767,78.444,10.829,10.81,11.955,12.477,12.491,9.574,7.162,9.529,10.233,13.665
2020-05-20,74.108,89.319,108.956,61.574,109.973,114.464,86.004,66.9,82.036,78.032,10.642,10.672,12.372,12.151,12.274,9.626,6.98,9.293,9.531,13.817
2020-05-21,73.47,91.937,113.021,61.815,116.604,110.289,84.638,65.155,84.941,78.856,10.378,10.77,12.633,12.339,12.391,9.645,6.825,9.257,9.377,13.748
2020-05-22,71.913,91.645,115.174,63.072,114.101,111.17,83.457,69.186,85.72,79.495,10.335,10.753,12.912,12.769,12.416,9.722,6.891,9.109,9.11,13.587
2020-05-25,71.65,91.642,113.964,64.126,115.738,112.135,83.181,70.142,86.47,78.824,10.153,10.857,13.159,12.95,12.013,10.205,7.057,9.031,9.16,14.081
2020-05-26,72.497,89.649,112.661,65.032,114.231,110.669,77.227,69.908,87.048,76.961,10.141,10.698,12.661,12.964,12.137,10.645,7.114,9.262,8.993,14.626
2020-05-27,76.293,88.752,113.635,63.86,111.728,107.829,76.214,72.662,88.269,81.159,10.263,10.725,12.829,13.083,12.699,10.333,7.076,9.37,9.594,14.483
2020-05-28,76.716,86.925,115.109,61.064,111.786,111.26,74.946,76.368,88.485,81.051,10.444,10.993,12.245,13.14,12.524,9.794,6.972,9.597,9.144,13.869
2020-05-29,77.315,86.619,115.809,60.542,112.278,112.52,75.827,76.13,88.57,80.699,10.594,10.762,12.323,12.728,12.037,10.045,7.152,9.238,9.652,13.292
2020-06-01,77.217,90.227,116.855,61.987,120.933,112.106,74.673,76.914,91.482,80.926,10.533,10.44,12.018,12.287,12.051,10.089,7.497,9.254,9.577,13.539
2020-06-02,73.222,87.316,122.113,64.032,120.449,109.573,74.425,74.909,95.27,80.685,10.539,10.137,12.174,12.265,11.695,10.333,7.408,9.47,9.82,13.771
2020-06-03,73.224,83.993,125.62,65.128,116.988,107.817,76.815,74.672,91.533,80.925,10.614,9.871,12.321,12.298,11.95,10.401,7.57,9.811,10.05,13.802
2020-06-04,73.401,87.007,126.362,65.816,117.917,110.859,78.432,74.33,91.647,82.7,10.275,10.003,12.533,12.308,12.11,10.417,7.63,9.456,9.372,13.786
2020-06-05,78.404,86.625,129.565,66.436,111.618,111.297,79.939,74.767,90.053,82.612,10.377,9.687,12.664,12.549,12.065,10.684,7.764,9.381,9.486,13.515
2020-06-08,78.051,85.29,126.227,65.616,111.44,110.142,79.215,75.507,89.394,81.128,10.102,9.623,12.403,12.478,11.971,10.993,7.554,9.615,9.415,13.746
2020-06-09,78.754,87.469,127.651,65.456,111.577,111.431,80.162,76.722,90.441,80.993,10.47,9.757,12.297,12.682,11.914,10.65,7.468,9.575,9.093,14.335
2020-06-10,78.739,86.253,133.755,68.034,113.984,109.662,79.866,77.283,92.144,80.458,10.39,9.849,12.696,12.636,11.922,10.456,7.536,9.373,9.226,13.33
2020-06-11,76.282,90.082,133.13,66.583,116.977,113.209,79.632,74.8,91.958,82.403,10.353,9.764,13.173,13.292,11.7,10.433,7.749,9.033,9.717,13.472
2020-06-12,78.725,91.602,130.338,69.122,115.532,116.522,80.37,72.951,87.356,84.055,10.206,9.807,12.654,13.129,11.304,10.458,7.601,8.835,8.78,13.152
2020-06-15,80.405,90.588,128.264,68.645,115.171,115.516,79.485,71.927,85.194,84.284,10.087,9.831,11.987,14.003,11.627,10.406,7.241,8.485,8.747,12.667
2020-06-16,82.206,95.329,124.77,70.801,112.957,114.13,81.958,71.434,87.313,82.61,10.498,9.782,11.834,13.939,11.521,10.51,7.244,8.501,8.417,12.315
2020-06-17,80.223,94.004,122.357,68.526,109.718,108.031,81.777,73.539,81.018,81.04,10.515,9.736,12.27,13.861,11.574,10.749,7.414,8.685,8.441,12.441
2020-06-18,83.363,95.735,121.302,69.5,110.695,104.815,82.879,71.272,83.663,81.139,10.218,10.226,12.794,13.515,11.661,11.169,7.141,8.429,8.361,12.575
2020-06-19,80.23,96.481,117.005,68.35,107.1,102.005,85.396,70.638,84.907,81.662,10.492,10.26,12.197,12.971,11.759,11.318,6.945,8.484,8.211,13.045
2020-06-22,81.579,99.552,117.167,66.141,106.025,102.403,87.259,72.531,87.97,81.243,10.714,10.833,12.479,12.769,11.423,11.102,6.97,8.657,8.389,13.056
2020-06-23,86.53,103.34,120.018,66.516,103.353,101.819,84.869,71.999,87.59,80.686,10.657,10.55,13.281,12.458,10.955,11.067,6.951,8.66,8.814,12.487
2020-06-24,84.251,103.484,117.314,68.116,104.921,99.077,85.716,72.963,82.861,79.985,10.713,10.531,13.28,12.602,10.932,11.05,7.048,8.334,9.407,12.569
2020-06-25,83.01,101.679,122.043,66.817,109.947,98.604,87.274,72.747,83.893,80.032,10.707,10.215,13.942,12.421,11.044,11.18,6.846,8.414,9.057,12.139
2020-06-26,83.299,102.864,123.776,64.528,106.295,99.749,88.932,73.317,86.826,77.003,11.084,10.03,14.224,12.492,10.851,11.28,6.794,8.407,8.557,11.778
2020-06-29,82.216,101.257,127.2,64.427,101.232,100.954,87.026,72.922,89.052,75.696,10.922,10.46,13.781,12.95,10.76,11.805,6.983,8.379,8.811,11.958
2020-06-30,78.79,106.206,125.157,64.334,100.984,97.07,85.962,74.308,87.565,74.996,10.947,10.181,13.697,12.924,11.331,11.507,6.789,8.274,9.251,12.023
2020-07-01,78.998,106.62,128.048,65.192,101.107,96.916,87.773,71.244,87.853,76.544,10.859,10.621,13.72,13.688,10.649,11.609,7.022,8.295,9.348,12.209
2020-07-02,76.762,105.753,124.552,66.67,101.766,94.229,86.514,70.599,86.691,75.603,10.576,10.165,13.776,13.035,10.583,12.23,6.848,8.398,9.814,12.107
2020-07-03,77.815,106.287,127.545,66.617,100.661,96.102,86.08,71.229,84.881,75.899,10.99,10.046,14.221,13.142,11.084,11.887,6.983,8.876,9.605,12.355
2020-07-06,75.917,102.921,128.236,69.53,100.215,97.776,88.902,72.324,87.127,76.253,10.753,9.97,14.43,12.947,10.91,11.928,6.922,8.771,9.43,12.234
2020-07-07,79.194,100.588,130.198,69.934,101.258,96.053,88.907,75.326,84.429,77.939,10.793,9.956,12.965,13.296,10.725,11.675,6.738,9.088,9.469,12.585
2020-07-08,77.558,103.545,126.362,69.411,104.094,94.625,87.694,74.587,82.5,79.618,10.451,10.163,12.535,12.461,11.039,11.699,6.66,9.168,9.378,12.702
2020-07-09,76.933,101.979,123.557,66.851,98.859,93.819,86.232,77.655,80.151,79.621,10.373,10.267,11.588,12.108,11.059,11.495,6.744,9.151,9.574,12.644
2020-07-10,78.704,99.484,125.588,66.481,97.985,89.519,86.898,76.327,77.045,79.081,10.449,10.171,11.804,12.077,10.969,11.769,6.743,9.187,9.864,12.719
2020-07-13,76.114,100.825,122.626,66.0,98.612,90.243,84.651,79.153,77.421,78.303,10.291,10.141,11.908,12.611,11.026,11.81,6.918,8.925,10.187,12.722
2020-07-14,76.646,103.754,124.216,67.513,96.325,89.829,84.315,80.982,79.894,78.071,10.396,10.069,12.031,12.508,10.852,11.563,7.149,8.994,10.352,13.24
2020-07-15,79.445,105.606,119.94,68.278,100.762,91.741,84.967,79.035,79.578,77.595,10.343,9.862,11.636,12.037,10.584,11.784,6.952,8.574,10.436,13.132
2020-07-16,76.012,108.193,122.691,66.446,99.17,89.742,87.279,79.763,76.461,78.37,10.556,9.666,11.914,11.635,10.559,11.834,6.749,8.505,10.696,13.139
2020-07-17,76.454,106.298,118.895,66.751,99.143,88.683,88.543,79.718,78.248,78.983,10.811,9.89,12.216,12.19,10.3,12.091,6.544,8.531,10.058,13.069
2020-07-20,77.055,102.741,120.711,67.832,100.664,85.997,87.358,81.144,81.841,79.821,10.694,9.483,11.689,11.799,10.307,11.78,6.407,8.775,10.25,13.354
2020-07-21,78.762,106.503,122.784,70.282,99.19,84.292,89.522,80.719,80.511,81.536,10.706,9.943,11.24,11.49,10.402,11.88,6.571,9.076,10.272,13.6
2020-07-22,76.157,105.745,120.688,71.774,94.482,82.308,89.073,80.111,79.562,84.09,10.738,9.718,11.245,11.975,10.626,12.09,6.657,9.029,10.345,13.515
2020-07-23,73.464,105.175,122.625,73.086,93.5,84.105,86.944,83.166,80.734,84.343,10.854,9.549,11.951,12.143,10.927,11.977,6.572,9.066,10.323,13.131
2020-07-24,74.569,108.589,123.571,73.231,96.092,82.974,86.731,83.012,84.304,85.935,10.854,9.709,12.483,12.585,10.822,11.638,6.57,9.281,10.465,12.841
2020-07-27,75.231,110.105,121.967,73.935,95.323,83.278,89.334,84.95,83.218,85.526,10.888,10.034,12.547,12.253,10.961,11.629,6.785,8.993,10.287,12.789
2020-07-28,75.804,111.377,118.901,76.127,93.291,82.709,89.723,84.5,80.342,87.261,10.837,10.287,12.234,11.731,11.099,11.954,7.086,9.083,10.649,13.231
2020-07-29,76.581,117.226,112.974,73.812,95.624,80.612,89.837,88.407,81.774,88.855,10.856,10.403,12.617,11.921,11.194,12.261,7.023,8.909,10.809,13.156
2020-07-30,75.214,115.491,114.107,73.255,94.874,80.417,92.893,86.848,83.596,90.401,11.107,10.659,12.425,12.039,11.066,12.144,6.588,8.877,10.865,12.968
2020-07-31,75.75,118.131,109.595,71.982,93.686,81.508,90.307,85.469,83.691,90.627,11.233,10.247,12.1,12.169,10.79,11.794,6.712,8.784,10.639,12.402
2020-08-03,76.415,118.366,109.972,72.659,94.127,79.546,88.058,89.089,82.527,89.728,11.371,10.127,11.204,12.682,10.929,11.681,6.858,8.878,10.911,13.031
2020-08-04,74.979,119.202,109.329,74.78,96.1,80.973,85.28,88.085,84.796,87.776,11.516,9.92,11.384,11.877,10.473,11.56,6.894,8.997,10.986,13.03
2020-08-05,78.864,123.643,111.358,73.786,102.161,79.628,86.007,92.0,86.073,87.804,11.481,10.194,11.14,12.313,10.534,11.679,7.011,9.191,10.738,13.299
2020-08-06,79.946,125.225,110.596,69.728,104.453,78.914,86.383,94.312,84.393,90.083,11.543,10.107,11.183,11.937,9.874,11.653,7.069,9.27,10.725,13.629
2020-08-07,77.402,126.919,109.76,69.1,107.704,79.872,89.158,93.994,84.586,89.715,11.314,10.3,10.295,12.231,9.671,11.457,6.865,9.312,10.938,13.581
2020-08-10,78.851,130.261,111.947,70.609,106.366,78.855,89.686,89.431,81.62,90.95,11.569,10.424,10.484,12.073,9.466,11.745,6.724,9.724,11.129,13.618
2020-08-11,76.808,129.203,113.027,71.533,103.6,79.003,89.046,89.459,83.192,92.289,10.986,10.223,9.603,11.801,9.727,11.784,6.673,9.232,11.302,14.136
